Company,Levy Group,Effective Date,Fuel Surcharge,,,,,,,
Airroad Pty Ltd,Customer A 1.15,27/04/2026,47.27%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Cahill Transport,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,27/04/2026,50.71%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,27/04/2026,34.48%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,27/04/2026,48.18%,,,,,,,
Hunter Express,Customer A 1.15,27/04/2026,47.27%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,27/04/2026,20.49%,,,,,,,
Materia Family Trust,Contractor B Materia,27/04/2026,29.51%,,,,,,,
Northline Partnership,Customer A 1.15,27/04/2026,48.18%,,,,,,,
SRK Transport,Contractor C SRK,27/04/2026,37.99%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,27/04/2026,48.18%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,27/04/2026,48.18%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,27/04/2026,48.18%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,20/04/2026,49.67%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,20/04/2026,54.18%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,20/04/2026,54.18%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,20/04/2026,54.18%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,20/04/2026,54.18%,,,,,,,
Cahill Transport,Customer B 1.10,20/04/2026,54.18%,,,,,,,
D & E Valley Freight,Contractor A GFE,20/04/2026,36.46%,,,,,,,
