Company,Contact Name,Type,Active,Levy Group,Minimum Fuel %
Airroad Pty Ltd,Accounts,Customer,Yes,Customer A 1.15,
Allied Overnight Express Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
Amalgamated National Logistics,Accounts,Customer,Yes,Customer B 1.10,
Aramex Linehaul Australia Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
Bluestar Logistics Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
Cahill Transport,Sonia,Customer,Yes,Customer B 1.10,
Direct Freight Express Pty Ltd,John,Customer,Yes,Customer B 1.10,
Dux Manufacturing Ltd,Accounts,Customer,Yes,Customer B 1.10,
Farm Balance Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
Freight Specialists Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
G&G Gippsland Pty Ltd,Adrian,Contractor,Yes,Contractor A GFE,
Hi Trans Express Pty Ltd,Accounts,Customer,Yes,Customer A 1.15,
Hunter Express,Accounts,Customer,Yes,Customer A 1.15,
Lakes Entrance Delivery Services,Ann Free,Contractor,Yes,Contractor D LEDS,5
Materia Family Trust,Kathy,Contractor,Yes,Contractor B Materia,
Northline Partnership,Sean,Customer,Yes,Customer A 1.15,
SRK Transport,Accounts,Contractor,Yes,Contractor C SRK,
Team Global Express Pty Ltd,Karen,Customer,Yes,Customer A 1.15,
TFMXPRESS Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
Total Logistics Solutions (Australia) Pty Ltd,Mary,Customer,Yes,Customer A 1.15,
Vellex Logistics Pty Ltd,Accounts,Customer,Yes,Customer A 1.15,
Wettenhalls Regional Express Pty Ltd,Accounts,Customer,Yes,Customer B 1.10,
D&E Valley Freight,Dylan,Contractor,Yes,Contractor A GFE,
