Company,Levy Group,Effective Date,Fuel Surcharge
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Vellex Logistics Pty Ltd,Customer A 1.15,11/05/2026,35.64%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,11/05/2026,35.64%
TFMXPRESS Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Team Global Express Pty Ltd,Customer A 1.15,11/05/2026,35.64%
SRK Transport,Contractor C SRK,11/05/2026,26.90%
Northline Partnership,Customer A 1.15,11/05/2026,35.64%
Materia Family Trust,Contractor B Materia,11/05/2026,19.84%
Lakes Entrance Delivery Services,Contractor D LEDS,11/05/2026,12.48%
Hunter Express,Customer A 1.15,11/05/2026,34.73%
Hi Trans Express Pty Ltd,Customer A 1.15,11/05/2026,35.64%
G&G Gippsland Pty Ltd,Contractor A GFE,11/05/2026,24.18%
Freight Specialists Pty Ltd,Customer B 1.10,11/05/2026,37.60%
Farm Balance Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Dux Manufacturing Ltd,Customer B 1.10,11/05/2026,38.55%
Direct Freight Express Pty Ltd,Customer B 1.10,11/05/2026,38.55%
D&E Valley Freight,D&E Valley Freight,11/05/2026,
Cahill Transport,Customer B 1.10,11/05/2026,38.55%
Bluestar Logistics Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Amalgamated National Logistics,Customer B 1.10,11/05/2026,38.55%
Allied Overnight Express Pty Ltd,Customer B 1.10,11/05/2026,38.55%
Airroad Pty Ltd,Customer A 1.15,11/05/2026,34.73%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Vellex Logistics Pty Ltd,Customer A 1.15,04/05/2026,40.74%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,04/05/2026,40.74%
TFMXPRESS Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Team Global Express Pty Ltd,Customer A 1.15,04/05/2026,40.74%
SRK Transport,Contractor C SRK,04/05/2026,31.42%
Northline Partnership,Customer A 1.15,04/05/2026,40.74%
Materia Family Trust,Contractor B Materia,04/05/2026,23.78%
Lakes Entrance Delivery Services,Contractor D LEDS,04/05/2026,15.74%
Hunter Express,Customer A 1.15,04/05/2026,39.84%
Hi Trans Express Pty Ltd,Customer A 1.15,04/05/2026,40.74%
G&G Gippsland Pty Ltd,Contractor A GFE,04/05/2026,28.38%
Freight Specialists Pty Ltd,Customer B 1.10,04/05/2026,42.94%
Farm Balance Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Dux Manufacturing Ltd,Customer B 1.10,04/05/2026,43.89%
Direct Freight Express Pty Ltd,Customer B 1.10,04/05/2026,43.89%
D&E Valley Freight,D&E Valley Freight,04/05/2026,
Cahill Transport,Customer B 1.10,04/05/2026,43.89%
Bluestar Logistics Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Amalgamated National Logistics,Customer B 1.10,04/05/2026,43.89%
Allied Overnight Express Pty Ltd,Customer B 1.10,04/05/2026,43.89%
Airroad Pty Ltd,Customer A 1.15,04/05/2026,39.84%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Vellex Logistics Pty Ltd,Customer A 1.15,27/04/2026,48.18%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,27/04/2026,48.18%
TFMXPRESS Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Team Global Express Pty Ltd,Customer A 1.15,27/04/2026,48.18%
SRK Transport,Contractor C SRK,27/04/2026,37.99%
Northline Partnership,Customer A 1.15,27/04/2026,48.18%
Materia Family Trust,Contractor B Materia,27/04/2026,29.51%
Lakes Entrance Delivery Services,Contractor D LEDS,27/04/2026,20.49%
Hunter Express,Customer A 1.15,27/04/2026,47.27%
Hi Trans Express Pty Ltd,Customer A 1.15,27/04/2026,48.18%
G&G Gippsland Pty Ltd,Contractor A GFE,27/04/2026,34.48%
Freight Specialists Pty Ltd,Customer B 1.10,27/04/2026,50.71%
Farm Balance Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Dux Manufacturing Ltd,Customer B 1.10,27/04/2026,51.66%
Direct Freight Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%
D&E Valley Freight,D&E Valley Freight,27/04/2026,
Cahill Transport,Customer B 1.10,27/04/2026,51.66%
Bluestar Logistics Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Amalgamated National Logistics,Customer B 1.10,27/04/2026,51.66%
Allied Overnight Express Pty Ltd,Customer B 1.10,27/04/2026,51.66%
Airroad Pty Ltd,Customer A 1.15,27/04/2026,47.27%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,20/04/2026,54.18%
Vellex Logistics Pty Ltd,Customer A 1.15,20/04/2026,50.58%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,20/04/2026,50.58%
TFMXPRESS Pty Ltd,Customer B 1.10,20/04/2026,54.18%
Team Global Express Pty Ltd,Customer A 1.15,20/04/2026,50.58%
SRK Transport,Contractor C SRK,20/04/2026,40.12%
Northline Partnership,Customer A 1.15,20/04/2026,50.58%
Materia Family Trust,Contractor B Materia,20/04/2026,31.37%
Lakes Entrance Delivery Services,Contractor D LEDS,20/04/2026,22.02%
Hunter Express,Customer A 1.15,20/04/2026,49.67%
Hi Trans Express Pty Ltd,Customer A 1.15,20/04/2026,50.58%
G&G Gippsland Pty Ltd,Contractor A GFE,20/04/2026,36.46%
